,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,Life_Evaluation_Avg
Haiti,71.393323657,12.996465892,27560.0,1440.0,8.749824549636363,-1.3060052289090909,0.1529728648181818,42.42328308,77.52222222222223,43.59941967,3097.1866666666665,9951.450245111111,391.33114298,13.358457275363635,0.7223583412999999,6.514276678479875,0.9005630397763834,60.67456278832048,16.28807270553864,26.0776884800252,-2.0295396068181817,0.2244765136363636,0.4457842973333333,179.0,33.09519230769231,39.43285714285714,23.628702056,2.0451394,0.0741763135,15893609675.545454,-0.8405090787272727,0.2231300392727273,-1.1662709117272727,0.1603857225454545,-1.2105065096363636,0.1983646398181818,1.5967853467777775,0.4773829755555556,30.651509115500915,41.1,25.0517,8.2264,63.3884,10857805.363636363,4952153.0,-0.8256324963636363,0.1308380825454545,10.070539756625,3.87559999036789
Lesotho,77.54611330600001,1.137022398,30360.0,788.0,18.933613265454543,-0.053341025,0.1748587515454545,36.522967391,41.001,4462.942953169939,2337.3777777777777,4041.052953444445,71.19954545499999,5.435093439454545,4.364400897454545,4.644003787818182,0.051010001,31.002643261111118,33.767233964545454,40.25210549636363,-0.789371989090909,0.1936920774545454,0.3899617023333333,122.0,1.9,54.579523810000005,31.739475553,2.229708,1.9018548688181816,2332233962.181818,-0.154223098,0.2375372227272727,-0.3234173589090909,0.154517977,-0.5336147682727272,0.1845602366363636,7.474500959636364,5.195253054444445,30.651509115500915,44.9,27.7678,14.4679,51.896,2174727.909090909,1569755.0,0.0433610391818181,0.1325250945454545,6.470445881890459,3.88338000831604
Eswatini,70.155502909,28.681313954,17200.0,788.0,7.163963731000001,-0.3143317311818182,0.2081302593636363,69.17749134900001,68.539,4462.942953169939,1044.6,2854.441542333333,66.781656977,5.834409327,4.166769512636363,2.3386791245454543,0.267540008,60.67456278832048,16.28807270553864,26.0776884800252,-0.5747890039090909,0.2429416490909091,0.383680569,121.0,5.3,49.35273809571429,37.306304465,2.912295567023809,1.8830234313636365,4449648979.454545,-0.3521940529090909,0.2379202137272727,-0.4318950285454546,0.1835882351818181,-0.3916269945454545,0.2651118867272727,5.680979858727273,3.241471158888889,30.651509115500915,54.6,26.7571,10.9952,56.0662,1153465.0,880380.6363636364,-1.338849566272727,0.138190701,10.420645877285711,3.8906666666666663
Comoros,71.46695325,18.513057496,1861.0,900.0,17.723671267,-0.905330468181818,0.2284559297272727,77.76136901699999,57.124,4462.942953169939,240.45555555555555,527.2552993333334,404.71574424,1.009935594,7.853800000000001,6.514276678479875,0.9005630397763834,60.67456278832048,16.28807270553864,26.0776884800252,-1.6866627824545457,0.2334556267272727,0.4048794776666666,160.0,33.09519230769231,66.6563313076357,12.023873371111112,2.420319,2.0076874856998908,1135038651.8,-0.2164246356363636,0.2665158293636364,-1.098714925818182,0.2115652967272727,-1.1945518039090908,0.2189603501818181,2.500705548714285,0.6775346377777778,30.651509115500915,45.3,31.4784,8.599599999999999,63.1895,760775.8181818182,540893.7272727273,-0.5192949581818181,0.1523285169090909,6.470445881890459,3.9787599967956537
Madagascar,70.290538238,21.443931323,581799.5,1513.0,18.613756298181816,-0.9281443953636364,0.1368288336363636,25.999125923,82.89099999999999,4462.942953169939,3178.6611111111106,28840.09113,44.484940938,6.549914691818182,45.23997071,47.38727866909091,0.0128666666666666,60.67456278832048,9.4386940399,9.9784741231,-1.1649347109090908,0.1837795038181818,0.3838279003333333,161.0,13.15,49.29101190428571,7.8265942779,2.3893976,0.5772299982727273,13058320195.454546,-0.4776034950909091,0.219374998,-0.8688917700909091,0.1418561881818181,-0.7520248889999999,0.1666607531818181,2.6860488652727272,1.7014073933333331,30.651509115500915,42.6,32.513099999999994,6.9465,64.701,26220445.727272727,16596435.454545457,-0.4152528223636364,0.1182072147272727,6.470445881890459,3.984133318583171
Sierra Leone,54.554308675,36.075541703,72180.0,2526.0,15.3769417638,-0.6789666304545454,0.1366179558181818,21.544860648,74.648,4462.942953169939,1058.7666666666669,6181.949328,105.21350098,12.35562464390909,7.034156228272727,10.95893181781818,0.9005630397763834,60.67456278832048,16.28807270553864,26.0776884800252,-1.1957390742727272,0.1831340966363636,0.3556627693333333,163.0,16.6,53.38696428428572,10.501315044111111,2.0618006666666666,0.7921468285454545,4193397055.363637,-0.1369355844545454,0.2206220234545454,-0.8386244178181819,0.1425868990909091,-0.896315216909091,0.1670008628181818,4.949961532181818,1.2001893855555557,30.651509115500915,35.7,34.0634,10.195,58.2278,7686256.636363637,4475112.0,-0.2020651095454545,0.1185953820909091,1.8324147726666664,3.987033328851064
India,60.297956806,23.956625712,2973190.0,1083.0,12.049966730909093,-0.3623282814545454,0.1325573243636363,90.520423278,33.806666666666665,757.9186178,2197113.1222222224,3154194.8381111114,452.1954747900001,5.951645986454546,4.461320176818182,6.514276678479875,0.6829733252222222,48.94219497142857,10.992195828571427,15.611916401428571,0.0942517157272727,0.2113275852727272,0.4727689036666667,62.0,20.8,70.51476190428572,22.582025459,3.232036,2.5386539958181817,2504586363636.364,-0.9183621027272728,0.2106704873636363,-0.0409971113636363,0.1535223804545454,-0.2794010358181818,0.1914333729090908,4.168304068714286,0.9481536,30.651509115500915,34.31428571428571,18.2286,7.0886,69.46509999999999,1351073073.6363635,895672090.7272727,0.3089312769090909,0.125352453,3.2213649763,4.159108323733012
Liberia,19.19145432,80.184281563,96320.0,2391.0,15.645460288181818,-0.7967076790000001,0.1378396546363636,18.8856203268,91.319,4462.942953169939,1157.8722222222225,2027.598078555556,49.365851328000005,10.976614222285717,10.3805119095,6.514276678479875,0.9005630397763834,20.31799525,12.716500615,26.0776884800252,-1.3580393682727274,0.1858523637272727,0.3185281533333333,175.0,10.4,53.90333333142858,15.717883011,2.3807828,1.042302948545455,3318458506.3636365,-0.417328504,0.2137074510909091,-0.9352260287272728,0.1436495793636363,-0.9725878347272728,0.1673740338181818,2.2570111536363635,1.183882451111111,30.651509115500915,34.25,33.7481,9.1621,60.2746,4804715.363636363,2362108.909090909,-0.1340640028181818,0.117407141090909,3.11653018,4.190408329327901
Chad,39.884212198,3.7499470537,1259200.0,322.0,24.32298834647432,-1.4191789735454543,0.1696580864545454,9.2752387046,73.264,4462.942953169939,1483.3455555555556,73804.63771777779,11.836329258,2.204624048909091,5.687135995948968,6.514276678479875,0.300500005,60.67456278832048,16.28807270553864,26.0776884800252,-1.5007403113636364,0.188557217,0.297270592,182.0,34.1,39.18416666714285,7.0093242465,2.28603325,2.8828970789,11642170525.727272,-1.292829535272727,0.2328847728181818,-1.3310516313636365,0.150673193,-1.1425782876363637,0.1806415969090909,2.4874217728181818,0.8971671455555555,30.651509115500915,37.45,45.4916,13.308600000000002,51.9889,15160579.363636363,11670796.636363637,-1.392178177818182,0.128761513,6.470445881890459,4.196141660690308
Angola,36.681479105,54.985238252,1246700.0,1010.0,16.405144055454546,-1.172905553545455,0.1599302279090909,42.045212464,52.24,269.14794843333334,26056.266666666663,80693.42328222223,23.864129862,18.0967610622,3.2717408022727272,6.782421717090909,0.03229,60.67456278832048,11.530448154875,20.86508374125,-1.0635707759090909,0.211320399,0.3611987826666666,177.0,33.09519230769231,52.43148809285714,23.958184048,2.2428326,2.6137070538181817,89585957733.0,-0.4549155234545454,0.2170882873636363,-1.0662102374545457,0.1664906929090909,-0.8671732111818181,0.2138596432727273,2.699611208818182,1.302724853333333,54.0,51.3,41.2066,8.6073,60.9893,30282099.454545453,10596589.090909092,-0.9919868761818182,0.1211602179090909,4.464031078333333,4.2156
